word_es,word_en,word_ko,valence,word_length_ko,notes
pedo,fart,방귀,negative,2,
giro,turn,회전,neutral,2,
luna,moon,달,positive,1,
metástasis,metastasis,전이,negative,2,medical term
arriesgado,risky,모험적인,neutral,4,
perseverar,persevere,인내하다,positive,4,
timado,swindled,사기당한,negative,4,
apilar,pile,쌓다,neutral,2,
pasear,walk,걷기,positive,2,
herir,hurt,상처,negative,2,
forma,shape,모양,neutral,2,
paseo,stroll,산책,positive,2,
aterrar,terrify,공포,negative,2,
parcial,partial,부분적,neutral,3,
aclamar,acclaim,환호,positive,2,
escupir,spit,침뱉다,negative,3,
dormilón,sleepyhead,잠꾸러기,neutral,4,
relación,relationship,관계,positive,2,
torear,bullfight,투우,negative,2,
llamar,call,부르다,neutral,3,
cantar,sing,노래,positive,2,
cazar,hunt,사냥,negative,2,
ancho,wide,넓은,neutral,2,
jugar,play,놀이,positive,2,
lesionar,injure,부상,negative,2,
garganta,throat,목구멍,neutral,3,
positivo,positive,긍정적,positive,3,
falsear,falsify,위조,negative,2,
atender,attend,참석,neutral,2,
fortuna,fortune,행운,positive,2,
parásito,parasite,기생충,negative,3,
chimenea,chimney,굴뚝,neutral,2,
chistoso,funny,재미있는,positive,4,
oloroso,smelly,냄새나는,negative,4,
similar,similar,유사한,neutral,3,
sonrisa,smile,미소,positive,2,
terremoto,earthquake,지진,negative,2,
inscribir,enroll,등록,neutral,2,
bienestar,wellbeing,안녕,positive,2,
desmayo,fainting,기절,negative,2,
pólvora,gunpowder,화약,neutral,2,
sincero,sincere,진실한,positive,3,
ridículo,ridiculous,우스운,negative,3,
producto,product,제품,neutral,2,
novedoso,novel,새로운,positive,3,
purulento,purulent,고름,negative,2,medical
suscribir,subscribe,구독,neutral,2,
preparado,prepared,준비된,positive,3,
repugnar,disgust,혐오,negative,2,
despacho,office,사무실,neutral,3,
aplaudir,applaud,박수,positive,2,
inquietar,worry,걱정,negative,2,
atravesar,cross,횡단,neutral,2,
perfumado,perfumed,향기로운,positive,4,
maloliente,stinky,악취,negative,2,
muestrario,sample,견본,neutral,2,
confidente,confidant,친구,positive,2,
muro,wall,벽,negative,1,can be neutral
orar,pray,기도,neutral,2,
amar,love,사랑,positive,2,
celda,cell,감방,negative,2,
frase,phrase,문구,neutral,2,
baile,dance,춤,positive,1,
derrumbar,collapse,붕괴,negative,2,
implantar,implant,이식,neutral,2,
serenidad,serenity,평온,positive,2,
muñón,stump,절단,negative,2,medical
metro,subway,지하철,neutral,3,
broma,joke,농담,positive,2,
padecer,suffer,고통,negative,2,
azulejo,tile,타일,neutral,2,
íntegro,upright,정직한,positive,3,
apendicitis,appendicitis,맹장염,negative,3,medical
translúcido,translucent,반투명,neutral,3,
inteligente,intelligent,똑똑한,positive,3,
monstruo,monster,괴물,negative,2,
engrosar,thicken,두껍게,neutral,3,
aplausos,applause,갈채,positive,2,
alarma,alarm,경보,negative,2,
mimado,spoiled,응석,neutral,2,
fresco,fresh,신선한,positive,3,
marginación,marginalization,소외,negative,2,
desenroscar,unscrew,풀다,neutral,2,
entusiasmar,enthuse,열광,positive,2,
enfadar,anger,화,negative,1,
liviano,light,가벼운,neutral,3,
posible,possible,가능한,positive,3,
monstruoso,monstrous,끔찍한,negative,3,
meticuloso,meticulous,꼼꼼한,neutral,3,
consciente,conscious,의식있는,positive,4,
agonizar,agonize,고뇌,negative,2,
advertir,warn,경고,neutral,2,
humildad,humility,겸손,positive,2,
zopenco,dolt,바보,negative,2,
esbozar,sketch,스케치,neutral,3,
ternura,tenderness,다정함,positive,3,
denigrar,denigrate,비방,negative,2,
espacial,spatial,공간적,neutral,3,
creativo,creative,창의적,positive,3,
estallar,explode,폭발,negative,2,
sencillo,simple,단순한,neutral,3,
favorito,favorite,좋아하는,positive,4,
abismo,abyss,심연,negative,2,
apodar,nickname,별명,neutral,2,
clavel,carnation,카네이션,positive,4,
robo,theft,도난,negative,2,
seco,dry,건조한,neutral,3,
agua,water,물,positive,1,
tétrico,gloomy,우울한,negative,3,
gráfico,graphic,그래픽,neutral,3,
piscina,pool,수영장,positive,3,
quimioterapia,chemotherapy,항암치료,negative,4,medical
septentrional,northern,북쪽의,neutral,3,
sobresaliente,outstanding,뛰어난,positive,3,
hinchado,swollen,부은,negative,2,
negociar,negotiate,협상,neutral,2,
dinámico,dynamic,역동적,positive,3,
estrangular,strangle,목조르다,negative,4,
sistemático,systematic,체계적,neutral,3,
hidromasaje,hydromassage,수압마사지,positive,5,
armar,arm,무장시키다,negative,5,
nivel,level,수준,neutral,2,
noche,night,밤,positive,1,
humillación,humiliation,굴욕,negative,2,
escurridizo,slippery,미끄러운,neutral,4,
celebración,celebration,축하,positive,2,
ahorcar,hang,목매달다,negative,4,
pensión,pension,연금,neutral,2,
regalar,gift,선물,positive,2,
estricto,strict,엄격한,negative,3,
esquilar,shear,깎다,neutral,2,
luminoso,bright,밝은,positive,2,
perder,lose,잃다,negative,2,
racial,racial,인종의,neutral,3,
paella,paella,빠에야,positive,3,Spanish dish
nazi,nazi,나치,negative,2,
cosa,thing,것,neutral,1,
reír,laugh,웃다,positive,2,
fallecer,die,사망,negative,2,
triturar,grind,갈다,neutral,2,
encantar,delight,기쁨,positive,2,
insultado,insulted,모욕당한,negative,4,
contrario,contrary,반대의,neutral,3,
fortaleza,fortress,강함,positive,2,can mean strength
