번호,스페인어,영어,한국어,정서가,글자수,검토필요,검토이유
1,pedo,fart,방귀,negative,2,⚠️,너무 속된 표현 (scatological)
2,giro,turn,회전,neutral,2,,
3,luna,moon,달,positive,1,,
4,metástasis,metastasis,전이,negative,2,⚠️,의학용어 (전문적)
5,arriesgado,risky,위험한,neutral,3,,
6,perseverar,persevere,인내하다,positive,4,,
7,timado,swindled,사기당한,negative,4,,
8,apilar,pile,쌓다,neutral,2,,
9,pasear,walk,산책,positive,2,,
10,herir,hurt,상처,negative,2,,
11,forma,shape,모양,neutral,2,,
12,paseo,stroll,산책,positive,2,⚠️,9번과 중복
13,aterrar,terrify,공포,negative,2,,
14,parcial,partial,부분적,neutral,3,,
15,aclamar,acclaim,환호,positive,2,,
16,escupir,spit,침뱉다,negative,3,⚠️,속된 표현 (scatological)
17,dormilón,sleepyhead,잠꾸러기,neutral,4,,
18,relación,relationship,관계,positive,2,,
19,torear,bullfight,투우,negative,2,⚠️,문화적 차이 (스페인에서는 중립/긍정)
20,llamar,call,부르다,neutral,3,,
21,cantar,sing,노래,positive,2,,
22,cazar,hunt,사냥,negative,2,⚠️,한국 문화에서는 중립적일 수 있음
23,ancho,wide,넓은,neutral,2,,
24,jugar,play,놀이,positive,2,,
25,lesionar,injure,부상,negative,2,,
26,garganta,throat,목구멍,neutral,3,,
27,positivo,positive,긍정적,positive,3,,
28,falsear,falsify,위조,negative,2,,
29,atender,attend,참석,neutral,2,,
30,fortuna,fortune,행운,positive,2,,
31,parásito,parasite,기생충,negative,3,,
32,chimenea,chimney,굴뚝,neutral,2,,
33,chistoso,funny,재미있는,positive,4,,
34,oloroso,smelly,냄새나는,negative,4,,
35,similar,similar,유사한,neutral,3,,
36,sonrisa,smile,미소,positive,2,,
37,terremoto,earthquake,지진,negative,2,,
38,inscribir,enroll,등록,neutral,2,,
39,bienestar,wellbeing,안녕,positive,2,,
40,desmayo,fainting,기절,negative,2,,
41,pólvora,gunpowder,화약,neutral,2,,
42,sincero,sincere,진실한,positive,3,,
43,ridículo,ridiculous,우스운,negative,3,,
44,producto,product,제품,neutral,2,,
45,novedoso,novel,새로운,positive,3,,
46,purulento,purulent,고름,negative,2,⚠️,의학용어 + 속된 표현
47,suscribir,subscribe,구독,neutral,2,,
48,preparado,prepared,준비된,positive,3,,
49,repugnar,disgust,혐오,negative,2,,
50,despacho,office,사무실,neutral,3,,
51,aplaudir,applaud,박수,positive,2,,
52,inquietar,worry,걱정,negative,2,,
53,atravesar,cross,횡단,neutral,2,,
54,perfumado,perfumed,향기로운,positive,4,,
55,maloliente,stinky,악취,negative,2,,
56,muestrario,sample,견본,neutral,2,,
57,confidente,confidant,친구,positive,2,,
58,muro,wall,벽,negative,1,⚠️,중립적일 수 있음
59,orar,pray,기도,neutral,2,,
60,amar,love,사랑,positive,2,,
61,celda,cell,감방,negative,2,,
62,frase,phrase,문구,neutral,2,,
63,baile,dance,춤,positive,1,,
64,derrumbar,collapse,붕괴,negative,2,,
65,implantar,implant,이식,neutral,2,,
66,serenidad,serenity,평온,positive,2,,
67,muñón,stump,절단,negative,2,⚠️,의학용어
68,metro,meter,미터,neutral,2,,
69,broma,joke,농담,positive,2,,
70,padecer,suffer,고통,negative,2,,
71,azulejo,tile,타일,neutral,2,,
72,íntegro,upright,정직한,positive,3,,
73,apendicitis,appendicitis,맹장염,negative,3,⚠️,의학용어
74,translúcido,translucent,반투명,neutral,3,,
75,inteligente,intelligent,똑똑한,positive,3,,
76,monstruo,monster,괴물,negative,2,,
77,engrosar,thicken,두껍게,neutral,3,,
78,aplausos,applause,박수,positive,2,⚠️,51번과 중복
79,alarma,alarm,경보,negative,2,,
80,mimado,spoiled,응석,neutral,2,,
81,fresco,fresh,신선한,positive,3,,
82,marginación,marginalization,소외,negative,2,,
83,desenroscar,unscrew,풀다,neutral,2,,
84,entusiasmar,enthuse,열광,positive,2,,
85,enfadar,anger,화,negative,1,,
86,liviano,light,가벼운,neutral,3,,
87,posible,possible,가능한,positive,3,,
88,monstruoso,monstrous,끔찍한,negative,3,,
89,meticuloso,meticulous,꼼꼼한,neutral,3,,
90,consciente,conscious,의식있는,positive,4,,
91,agonizar,agonize,고뇌,negative,2,,
92,advertir,warn,경고,neutral,2,,
93,humildad,humility,겸손,positive,2,,
94,zopenco,dolt,바보,negative,2,,
95,esbozar,sketch,스케치,neutral,3,,
96,ternura,tenderness,다정함,positive,3,,
97,denigrar,denigrate,비방,negative,2,,
98,espacial,spatial,공간적,neutral,3,,
99,creativo,creative,창의적,positive,3,,
100,estallar,explode,폭발,negative,2,,
101,sencillo,simple,단순한,neutral,3,,
102,favorito,favorite,좋아하는,positive,4,,
103,abismo,abyss,심연,negative,2,,
104,apodar,nickname,별명,neutral,2,,
105,clavel,carnation,카네이션,positive,4,⚠️,문화적 차이 (한국에서 긍정적?)
106,robo,theft,도난,negative,2,,
107,seco,dry,건조한,neutral,3,,
108,agua,water,물,positive,1,⚠️,중립적일 수 있음
109,tétrico,gloomy,우울한,negative,3,,
110,gráfico,graphic,그래픽,neutral,3,,
111,piscina,pool,수영장,positive,3,,
112,quimioterapia,chemotherapy,항암치료,negative,4,⚠️,의학용어 (매우 전문적)
113,septentrional,northern,북쪽의,neutral,3,,
114,sobresaliente,outstanding,뛰어난,positive,3,,
