text,letterColor,corrAns,condition,word_es,word_en
방귀,blue,blue,negative,pedo,fart
회전,blue,blue,neutral,giro,turn
달,blue,blue,positive,luna,moon
전이,green,green,negative,metástasis,metastasis
모험적인,green,green,neutral,arriesgado,risky
인내하다,green,green,positive,perseverar,persevere
사기당한,red,red,negative,timado,swindled
쌓다,red,red,neutral,apilar,pile
걷기,red,red,positive,pasear,walk
상처,blue,blue,negative,herir,hurt
모양,blue,blue,neutral,forma,shape
산책,blue,blue,positive,paseo,stroll
공포,green,green,negative,aterrar,terrify
부분적,green,green,neutral,parcial,partial
환호,green,green,positive,aclamar,acclaim
침뱉다,red,red,negative,escupir,spit
잠꾸러기,red,red,neutral,dormilón,sleepyhead
관계,red,red,positive,relación,relationship
투우,blue,blue,negative,torear,bullfight
부르다,blue,blue,neutral,llamar,call
노래,blue,blue,positive,cantar,sing
사냥,green,green,negative,cazar,hunt
넓은,green,green,neutral,ancho,wide
놀이,green,green,positive,jugar,play
부상,red,red,negative,lesionar,injure
목구멍,red,red,neutral,garganta,throat
긍정적,red,red,positive,positivo,positive
위조,blue,blue,negative,falsear,falsify
참석,blue,blue,neutral,atender,attend
행운,blue,blue,positive,fortuna,fortune
기생충,green,green,negative,parásito,parasite
굴뚝,green,green,neutral,chimenea,chimney
재미있는,green,green,positive,chistoso,funny
냄새나는,red,red,negative,oloroso,smelly
유사한,red,red,neutral,similar,similar
미소,red,red,positive,sonrisa,smile
지진,blue,blue,negative,terremoto,earthquake
등록,blue,blue,neutral,inscribir,enroll
안녕,blue,blue,positive,bienestar,wellbeing
기절,green,green,negative,desmayo,fainting
화약,green,green,neutral,pólvora,gunpowder
진실한,green,green,positive,sincero,sincere
우스운,red,red,negative,ridículo,ridiculous
제품,red,red,neutral,producto,product
새로운,red,red,positive,novedoso,novel
고름,blue,blue,negative,purulento,purulent
구독,blue,blue,neutral,suscribir,subscribe
준비된,blue,blue,positive,preparado,prepared
혐오,green,green,negative,repugnar,disgust
사무실,green,green,neutral,despacho,office
박수,green,green,positive,aplaudir,applaud
걱정,red,red,negative,inquietar,worry
횡단,red,red,neutral,atravesar,cross
향기로운,red,red,positive,perfumado,perfumed
악취,blue,blue,negative,maloliente,stinky
견본,blue,blue,neutral,muestrario,sample
친구,blue,blue,positive,confidente,confidant
벽,green,green,negative,muro,wall
기도,green,green,neutral,orar,pray
사랑,green,green,positive,amar,love
감방,red,red,negative,celda,cell
문구,red,red,neutral,frase,phrase
춤,red,red,positive,baile,dance
붕괴,blue,blue,negative,derrumbar,collapse
이식,blue,blue,neutral,implantar,implant
평온,blue,blue,positive,serenidad,serenity
절단,green,green,negative,muñón,stump
지하철,green,green,neutral,metro,subway
농담,green,green,positive,broma,joke
고통,red,red,negative,padecer,suffer
타일,red,red,neutral,azulejo,tile
정직한,red,red,positive,íntegro,upright
맹장염,blue,blue,negative,apendicitis,appendicitis
반투명,blue,blue,neutral,translúcido,translucent
똑똑한,blue,blue,positive,inteligente,intelligent
괴물,green,green,negative,monstruo,monster
두껍게,green,green,neutral,engrosar,thicken
갈채,green,green,positive,aplausos,applause
경보,red,red,negative,alarma,alarm
응석,red,red,neutral,mimado,spoiled
신선한,red,red,positive,fresco,fresh
소외,blue,blue,negative,marginación,marginalization
풀다,blue,blue,neutral,desenroscar,unscrew
